"date","type","likes_count_fb","comments_count_fb","shares_count_fb","sentiment","valence","post_link"
"2016-01-08","link",1160,478,187,"positive",2,"https://www.facebook.com/77249349077/posts/10153931914024078"
"2016-01-09","link",607,595,72,"positive",5,"https://www.facebook.com/77249349077/posts/10153933683624078"
"2016-01-09","link",2262,348,258,"negative",-1,"https://www.facebook.com/77249349077/posts/10153934848149078"
"2016-01-10","link",320,390,63,"positive",5,"https://www.facebook.com/77249349077/posts/10153936349864078"
"2016-01-11","photo",442,182,94,"neutral",0,"https://www.facebook.com/77249349077/posts/10153938516469078"
"2016-01-11","photo",309,271,69,"positive",1,"https://www.facebook.com/77249349077/posts/10153938993129078"
"2016-01-11","link",722,408,110,"negative",-2,"https://www.facebook.com/77249349077/posts/10153939211984078"
"2016-01-11","photo",876,524,378,"neutral",0,"https://www.facebook.com/77249349077/posts/10153939605459078"
"2016-01-12","link",238,303,130,"negative",-1,"https://www.facebook.com/77249349077/posts/10153941052114078"
"2016-01-12","photo",709,331,0,"neutral",0,"https://www.facebook.com/77249349077/posts/10153941392024078"
"2016-01-12","link",646,403,103,"positive",5,"https://www.facebook.com/77249349077/posts/10153942064089078"
"2016-01-13","link",258,277,48,"positive",4,"https://www.facebook.com/77249349077/posts/10153943885314078"
"2016-01-13","video",807,298,0,"neutral",0,"https://www.facebook.com/77249349077/posts/10153944463744078"
"2016-01-13","link",1406,322,258,"positive",10,"https://www.facebook.com/77249349077/posts/10153944629019078"
"2016-01-14","photo",314,145,209,"neutral",0,"https://www.facebook.com/77249349077/posts/10153946153894078"
"2016-01-14","link",437,409,64,"positive",1,"https://www.facebook.com/77249349077/posts/10153946296224078"
"2016-01-14","link",874,622,360,"positive",1,"https://www.facebook.com/77249349077/posts/10153946711239078"
"2016-01-15","link",428,416,103,"positive",2,"https://www.facebook.com/77249349077/posts/10153948413939078"
"2016-01-15","link",435,601,113,"neutral",0,"https://www.facebook.com/77249349077/posts/10153948809459078"
"2016-01-17","link",751,420,105,"neutral",0,"https://www.facebook.com/77249349077/posts/10153952387154078"
"2016-01-18","link",271,290,170,"positive",1,"https://www.facebook.com/77249349077/posts/10153954908219078"
"2016-01-18","link",451,399,67,"positive",7,"https://www.facebook.com/77249349077/posts/10153955286819078"
"2016-01-20","photo",517,232,346,"positive",1,"https://www.facebook.com/77249349077/posts/10153958727839078"
"2016-01-20","link",154,114,33,"positive",2,"https://www.facebook.com/77249349077/posts/10153958933504078"
"2016-01-20","video",979,618,0,"neutral",0,"https://www.facebook.com/77249349077/posts/10153958934724078"
"2016-01-21","link",700,260,124,"positive",4,"https://www.facebook.com/77249349077/posts/10153960699854078"
"2016-01-21","photo",303,234,97,"positive",1,"https://www.facebook.com/77249349077/posts/10153961055104078"
"2016-01-21","link",444,454,69,"positive",1,"https://www.facebook.com/77249349077/posts/10153961172799078"
"2016-01-22","link",589,335,124,"negative",-2,"https://www.facebook.com/77249349077/posts/10153963250084078"
"2016-01-23","link",365,513,75,"negative",-2,"https://www.facebook.com/77249349077/posts/10153964770949078"
"2016-01-24","link",887,194,162,"positive",2,"https://www.facebook.com/77249349077/posts/10153966861404078"
"2016-01-24","link",644,1338,153,"positive",4,"https://www.facebook.com/77249349077/posts/10153967093519078"
"2016-01-25","photo",379,446,225,"neutral",0,"https://www.facebook.com/77249349077/posts/10153969479804078"
"2016-01-26","link",1092,461,230,"negative",-1,"https://www.facebook.com/77249349077/posts/10153971866784078"
"2016-01-27","photo",300,180,133,"negative",-1,"https://www.facebook.com/77249349077/posts/10153973909089078"
"2016-01-27","photo",1228,413,715,"neutral",0,"https://www.facebook.com/77249349077/posts/10153974499534078"
"2016-01-28","photo",330,346,109,"positive",1,"https://www.facebook.com/77249349077/posts/10153975585284078"
"2016-01-28","link",797,532,289,"positive",1,"https://www.facebook.com/77249349077/posts/10153975965144078"
"2016-01-28","link",271,491,35,"neutral",0,"https://www.facebook.com/77249349077/posts/10153976270769078"
"2016-01-29","link",227,223,77,"negative",-1,"https://www.facebook.com/77249349077/posts/10153978269729078"
"2016-01-29","link",472,247,79,"negative",-1,"https://www.facebook.com/77249349077/posts/10153978799499078"
"2016-01-29","video",567,444,261,"neutral",0,"https://www.facebook.com/77249349077/posts/10153978824609078"
"2016-01-30","link",787,180,169,"negative",-1,"https://www.facebook.com/77249349077/posts/10153981190604078"
"2016-01-31","link",252,101,81,"positive",2,"https://www.facebook.com/77249349077/posts/10153982541539078"
"2016-01-31","link",831,487,259,"positive",2,"https://www.facebook.com/77249349077/posts/10153982870589078"
"2016-02-01","video",658,287,0,"neutral",0,"https://www.facebook.com/77249349077/posts/10153985834329078"
"2016-02-01","video",1403,198,0,"neutral",0,"https://www.facebook.com/77249349077/posts/10153986167454078"
"2016-02-02","photo",586,383,256,"neutral",0,"https://www.facebook.com/77249349077/posts/10153987635239078"
"2016-02-02","photo",638,183,208,"positive",1,"https://www.facebook.com/77249349077/posts/10153987746854078"
"2016-02-02","link",662,462,257,"negative",-1,"https://www.facebook.com/77249349077/posts/10153988299749078"
"2016-02-03","video",1761,309,0,"neutral",0,"https://www.facebook.com/77249349077/posts/10153989712594078"
"2016-02-03","photo",389,170,141,"neutral",0,"https://www.facebook.com/77249349077/posts/10153989756494078"
"2016-02-03","video",899,494,1377,"positive",1,"https://www.facebook.com/77249349077/posts/10153989911479078"
"2016-02-03","photo",591,256,386,"neutral",0,"https://www.facebook.com/77249349077/posts/10153990410544078"
"2016-02-04","photo",297,146,217,"negative",-1,"https://www.facebook.com/77249349077/posts/10153992275264078"
"2016-02-04","link",234,149,23,"negative",-1,"https://www.facebook.com/77249349077/posts/10153992524044078"
"2016-02-04","link",437,281,116,"positive",1,"https://www.facebook.com/77249349077/posts/10153992917424078"
"2016-02-05","link",33,223,14,"positive",1,"https://www.facebook.com/77249349077/posts/10153994195389078"
"2016-02-05","link",602,296,164,"neutral",0,"https://www.facebook.com/77249349077/posts/10153994628624078"
"2016-02-07","link",803,172,167,"negative",-2,"https://www.facebook.com/77249349077/posts/10153998449669078"
"2016-02-08","video",228,173,0,"positive",1,"https://www.facebook.com/77249349077/posts/10154001489844078"
"2016-02-09","photo",1121,312,414,"positive",2,"https://www.facebook.com/77249349077/posts/10154003567789078"
"2016-02-09","link",1021,657,533,"positive",1,"https://www.facebook.com/77249349077/posts/10154003843044078"
"2016-02-10","photo",468,167,223,"positive",6,"https://www.facebook.com/77249349077/posts/10154005721294078"
"2016-02-10","link",492,333,140,"positive",1,"https://www.facebook.com/77249349077/posts/10154006354244078"
"2016-02-11","link",248,127,96,"positive",1,"https://www.facebook.com/77249349077/posts/10154007645999078"
"2016-02-11","link",198,191,21,"negative",-1,"https://www.facebook.com/77249349077/posts/10154008219134078"
"2016-02-12","link",1058,544,339,"neutral",0,"https://www.facebook.com/77249349077/posts/10154009939489078"
"2016-02-12","link",433,345,81,"positive",1,"https://www.facebook.com/77249349077/posts/10154010254319078"
"2016-02-13","video",638,384,639,"neutral",0,"https://www.facebook.com/77249349077/posts/10154010270174078"
"2016-02-14","link",375,360,92,"positive",3,"https://www.facebook.com/77249349077/posts/10154013926339078"
